caseNumber,reportedDate,offense,description
MP2019705476        ,2019-09-03T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019705477        ,2019-09-03T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019705479        ,2019-09-03T00:00:00.000Z,BIKETF  ,BIKE THEFT                    
MP2019705483        ,2019-09-03T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019705484        ,2019-09-03T00:00:00.000Z,BIKETF  ,BIKE THEFT                    
MP2019705485        ,2019-09-03T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019705486        ,2019-09-03T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2019705487        ,2019-09-03T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019705488        ,2019-09-03T00:00:00.000Z,BIKETF  ,BIKE THEFT                    
MP2019705492        ,2019-09-03T00:00:00.000Z,THEFT   ,OTHER THEFT                   
MP2019243535        ,2019-08-14T00:00:00.000Z,ARSON   ,ARSON                         
MP2019357332        ,2019-12-03T00:00:00.000Z,BURGB   ,BURGLARY OF BUSINESS          
MP2019357728        ,2019-12-03T00:00:00.000Z,ROBBIZ  ,ROBBERY OF BUSINESS           
MP2019358177        ,2019-12-04T00:00:00.000Z,AUTOTH  ,AUTOMOBILE THEFT              
MP2019358200        ,2019-12-04T00:00:00.000Z,AUTOTH  ,AUTOMOBILE THEFT              
MP2019358208        ,2019-12-04T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019358223        ,2019-12-04T00:00:00.000Z,AUTOTH  ,AUTOMOBILE THEFT              
MP2019358225        ,2019-12-04T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019358233        ,2019-12-04T00:00:00.000Z,BURGD   ,BURGLARY OF DWELLING          
MP2019358236        ,2019-12-04T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
MP2019358244        ,2019-12-04T00:00:00.000Z,BURGD   ,BURGLARY OF DWELLING          
MP2019358291        ,2019-12-04T00:00:00.000Z,TBLDG   ,THEFT FROM BUILDING           
MP2019358292        ,2019-12-04T00:00:00.000Z,BURGD   ,BURGLARY OF DWELLING          
MP2019358315        ,2019-12-04T00:00:00.000Z,TFMV    ,THEFT FROM MOTR VEHC          
