caseNumber,reportedDate,offense,description
MP 2018 998366,2018-04-02T13:49:35.000Z,THEFT,Other Theft
MP 2018 103909,2018-04-02T13:50:00.000Z,ROBBIZ,Robbery Of Business
MP 2018 998365,2018-04-02T13:55:59.000Z,THEFT,Other Theft
MP 2018 998364,2018-04-02T14:00:28.000Z,THEFT,Other Theft
MP 2018 998363,2018-04-02T14:27:57.000Z,TFMV,Theft From Motr Vehc
MP 2018 104037,2018-04-02T14:40:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 104044,2018-04-02T15:06:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 998362,2018-04-02T16:10:03.000Z,TFMV,Theft From Motr Vehc
MP 2018 104188,2018-04-02T16:17:00.000Z,THEFT,Other Theft
MP 2018 998361,2018-04-02T17:06:47.000Z,TFMV,Theft From Motr Vehc
