caseNumber,reportedDate,offense,description
MP 2018 115124,2018-04-12T16:06:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 115189,2018-04-12T16:15:00.000Z,THFTSW,Theft By Swindle
MP 2018 115232,2018-04-12T16:45:00.000Z,BIKETF,Bike Theft
MP 2018 115136,2018-04-12T17:15:00.000Z,CSCR,Crim Sex Cond-rape
MP 2018 115356,2018-04-12T18:00:00.000Z,ROBPER,Robbery Of Person
MP 2018 115402,2018-04-12T18:45:00.000Z,THEFT,Other Theft
MP 2018 114241,2018-04-12T19:15:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 115324,2018-04-12T19:15:00.000Z,SHOPLF,Shoplifting
MP 2018 115447,2018-04-12T19:17:00.000Z,SHOPLF,Shoplifting
MP 2018 115437,2018-04-12T19:22:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 115351,2018-04-12T19:35:00.000Z,THEFT,Other Theft
MP 2018 115520,2018-04-12T19:50:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 115612,2018-04-12T21:15:00.000Z,THEFT,Other Theft
MP 2018 115619,2018-04-12T21:19:00.000Z,THEFT,Other Theft
MP 2018 115887,2018-04-13T01:22:00.000Z,DISARM,Disarm a Police Officer
MP 2018 115888,2018-04-13T01:28:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 115978,2018-04-13T02:17:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 116062,2018-04-13T06:05:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 116066,2018-04-13T07:25:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 116065,2018-04-13T07:30:00.000Z,BURGB,Burglary Of Business
MP 2018 116105,2018-04-13T08:20:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 115534,2018-04-13T08:30:00.000Z,THEFT,Other Theft
MP 2018 116067,2018-04-13T08:40:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 116088,2018-04-13T08:49:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116123,2018-04-13T09:00:00.000Z,THEFT,Other Theft
MP 2018 116148,2018-04-13T09:51:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116707,2018-04-13T09:56:00.000Z,THEFT,Other Theft
MP 2018 116197,2018-04-13T10:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 115256,2018-04-13T10:51:00.000Z,THEFT,Other Theft
MP 2018 116240,2018-04-13T11:50:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 116337,2018-04-13T13:32:00.000Z,THEFT,Other Theft
MP 2018 116283,2018-04-13T13:33:00.000Z,BIKETF,Bike Theft
MP 2018 116291,2018-04-13T13:41:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116350,2018-04-13T14:00:00.000Z,THEFT,Other Theft
MP 2018 998164,2018-04-13T14:28:34.000Z,THEFT,Other Theft
MP 2018 116223,2018-04-13T14:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 116347,2018-04-13T15:10:00.000Z,TFPER,Theft From Person
MP 2018 116499,2018-04-13T17:37:00.000Z,BURGB,Burglary Of Business
MP 2018 116495,2018-04-13T18:00:00.000Z,THFTSW,Theft By Swindle
MP 2018 116592,2018-04-13T18:16:00.000Z,THEFT,Other Theft
MP 2018 116338,2018-04-13T18:30:00.000Z,THEFT,Other Theft
MP 2018 116531,2018-04-13T18:37:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116545,2018-04-13T18:45:00.000Z,THEFT,Other Theft
MP 2018 116551,2018-04-13T19:20:00.000Z,THEFT,Other Theft
MP 2018 116557,2018-04-13T19:35:00.000Z,THEFT,Other Theft
MP 2018 116560,2018-04-13T19:40:00.000Z,THEFT,Other Theft
MP 2018 116482,2018-04-13T19:57:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 116690,2018-04-13T20:09:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116700,2018-04-13T20:39:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116731,2018-04-13T21:29:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 116532,2018-04-13T21:50:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 116850,2018-04-13T23:00:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 116865,2018-04-13T23:15:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 116973,2018-04-14T00:15:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 116903,2018-04-14T00:15:00.000Z,SHOPLF,Shoplifting
MP 2018 116931,2018-04-14T00:35:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 117052,2018-04-14T02:13:00.000Z,ROBPAG,Robbery Per Agg
MP 2018 117044,2018-04-14T03:10:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 117101,2018-04-14T03:30:00.000Z,THEFT,Other Theft
MP 2018 117056,2018-04-14T04:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 117188,2018-04-14T05:30:00.000Z,BURGB,Burglary Of Business
MP 2018 115170,2018-04-14T07:45:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 115129,2018-04-14T08:00:00.000Z,THFTSW,Theft By Swindle
MP 2018 117220,2018-04-14T08:00:00.000Z,THEFT,Other Theft
MP 2018 117225,2018-04-14T08:30:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 117234,2018-04-14T08:39:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 117231,2018-04-14T09:24:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 117297,2018-04-14T10:45:00.000Z,THEFT,Other Theft
MP 2018 998162,2018-04-14T13:51:37.000Z,THEFT,Other Theft
MP 2018 117408,2018-04-14T14:21:00.000Z,THEFT,Other Theft
MP 2018 998161,2018-04-14T14:21:49.000Z,THEFT,Other Theft
MP 2018 117385,2018-04-14T14:42:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 998160,2018-04-14T14:43:28.000Z,THEFT,Other Theft
MP 2018 117409,2018-04-14T15:00:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 117468,2018-04-14T16:36:00.000Z,THEFT,Other Theft
MP 2018 117584,2018-04-14T18:00:00.000Z,THFTSW,Theft By Swindle
MP 2018 117469,2018-04-14T18:34:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 117617,2018-04-14T18:47:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 117544,2018-04-14T19:04:00.000Z,SHOPLF,Shoplifting
MP 2018 117466,2018-04-14T19:21:00.000Z,THEFT,Other Theft
MP 2018 117590,2018-04-14T20:27:00.000Z,SHOPLF,Shoplifting
MP 2018 117623,2018-04-14T20:30:00.000Z,THFTSW,Theft By Swindle
MP 2018 998157,2018-04-14T20:40:43.000Z,TFMV,Theft From Motr Vehc
MP 2018 117596,2018-04-14T21:45:00.000Z,THFTSW,Theft By Swindle
MP 2018 117711,2018-04-14T22:04:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 117817,2018-04-14T23:11:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 118002,2018-04-15T08:20:00.000Z,THEFT,Other Theft
MP 2018 998154,2018-04-15T10:26:08.000Z,THEFT,Other Theft
MP 2018 118041,2018-04-15T10:51:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 998153,2018-04-15T10:52:13.000Z,TFMV,Theft From Motr Vehc
MP 2018 118149,2018-04-15T13:35:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 118187,2018-04-15T14:48:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 118217,2018-04-15T15:30:00.000Z,SHOPLF,Shoplifting
MP 2018 118251,2018-04-15T16:00:00.000Z,SHOPLF,Shoplifting
MP 2018 998151,2018-04-15T16:21:33.000Z,THEFT,Other Theft
MP 2018 118223,2018-04-15T17:22:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 118299,2018-04-15T17:27:00.000Z,THEFT,Other Theft
MP 2018 118241,2018-04-15T18:01:00.000Z,THEFT,Other Theft
MP 2018 118335,2018-04-15T18:30:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 118336,2018-04-15T19:00:00.000Z,THEFT,Other Theft
MP 2018 118307,2018-04-15T19:02:00.000Z,ROBPER,Robbery Of Person
MP 2018 118228,2018-04-15T20:10:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 998148,2018-04-15T22:01:31.000Z,THEFT,Other Theft
MP 2018 118348,2018-04-15T23:11:00.000Z,THEFT,Other Theft
MP 2018 118678,2018-04-16T00:45:00.000Z,THEFT,Other Theft
MP 2018 118595,2018-04-16T01:10:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 118606,2018-04-16T01:50:00.000Z,TFMV,Theft From Motr Vehc
MP 2018 118806,2018-04-16T03:15:00.000Z,THEFT,Other Theft
MP 2018 118891,2018-04-16T06:55:00.000Z,BURGD,Burglary Of Dwelling
MP 2018 118918,2018-04-16T09:40:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 119078,2018-04-16T11:40:00.000Z,THFTSW,Theft By Swindle
MP 2018 118991,2018-04-16T11:41:00.000Z,THEFT,Other Theft
MP 2018 119059,2018-04-16T11:48:00.000Z,TFPER,Theft From Person
MP 2018 119055,2018-04-16T11:50:00.000Z,THFTSW,Theft By Swindle
MP 2018 118982,2018-04-16T12:30:00.000Z,THEFT,Other Theft
MP 2018 119141,2018-04-16T12:33:00.000Z,THEFT,Other Theft
MP 2018 119126,2018-04-16T13:13:00.000Z,THEFT,Other Theft
MP 2018 119128,2018-04-16T13:31:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 119173,2018-04-16T14:15:00.000Z,THEFT,Other Theft
MP 2018 119205,2018-04-16T14:16:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 119135,2018-04-16T14:25:00.000Z,THEFT,Other Theft
MP 2018 119092,2018-04-16T14:30:00.000Z,BURGB,Burglary Of Business
MP 2018 119253,2018-04-16T14:50:00.000Z,DASTR,Domestic Assault/Strangulation
MP 2018 119273,2018-04-16T15:38:00.000Z,THFTSW,Theft By Swindle
MP 2018 998147,2018-04-16T15:49:57.000Z,THEFT,Other Theft
MP 2018 998146,2018-04-16T15:57:31.000Z,THEFT,Other Theft
MP 2018 119101,2018-04-16T16:33:00.000Z,DASLT2,2nd Deg Domes Aslt
MP 2018 117379,2018-04-16T17:07:00.000Z,THEFT,Other Theft
MP 2018 119308,2018-04-16T17:17:00.000Z,SHOPLF,Shoplifting
MP 2018 117380,2018-04-16T17:21:00.000Z,THEFT,Other Theft
MP 2018 119315,2018-04-16T17:30:00.000Z,SHOPLF,Shoplifting
MP 2018 119353,2018-04-16T17:47:00.000Z,AUTOTH,Motor Vehicle Theft
MP 2018 119446,2018-04-16T18:30:00.000Z,THEFT,Other Theft
MP 2018 119448,2018-04-16T18:48:00.000Z,THEFT,Other Theft
